username, password, email, usergroup
30747157,123456abc,30747157@qq.com,2
16321027,123456abc,16321027@qq.com,2
71115012,123456abc,71115012@qq.com,2
40218721,123456abc,40218721@qq.com,2
rwbfpmhm,123456abc,rwbfpmhm@msn.com,2
clnrjdtvkfubfp,123456abc,clnrjdtvkfubfp@163.com,2
jpvoiqmenslulh,123456abc,jpvoiqmenslulh@126.com,2
awchnksmpk,123456abc,awchnksmpk@hotmail.com,2
jttnnumrsqllde,123456abc,jttnnumrsqllde@sohu.com,2
iapfesnwhj,123456abc,iapfesnwhj@msn.com,2
vghhwclgetrphio,123456abc,vghhwclgetrphio@163.com,2
43082128,123456abc,43082128@qq.com,2
44745465,123456abc,44745465@qq.com,2
45158112,123456abc,45158112@qq.com,2
85867383,123456abc,85867383@qq.com,2
32770255,123456abc,32770255@qq.com,2
82602568,123456abc,82602568@qq.com,2
qgrnwlowfhoo,123456abc,qgrnwlowfhoo@21cn.com,2
lmlnukkkld,123456abc,lmlnukkkld@sina.com,2
26626512,123456abc,26626512@qq.com,2
16061400,123456abc,16061400@qq.com,2
54126851,123456abc,54126851@qq.com,2
04664002,123456abc,04664002@qq.com,2
suklfrobe,123456abc,suklfrobe@hotmail.com,2
qjvhwn,123456abc,qjvhwn@sohu.com,2
evvrubjsraajick,123456abc,evvrubjsraajick@21cn.com,2
70416657,123456abc,70416657@qq.com,2
15522744,123456abc,15522744@qq.com,2
16464423,123456abc,16464423@qq.com,2
04118471,123456abc,04118471@qq.com,2
66718727,123456abc,66718727@qq.com,2
72112382,123456abc,72112382@qq.com,2
01474273,123456abc,01474273@qq.com,2
61125475,123456abc,61125475@qq.com,2
64548243,123456abc,64548243@qq.com,2
35812106,123456abc,35812106@qq.com,2
47060853,123456abc,47060853@qq.com,2
83376022,123456abc,83376022@qq.com,2
kbqmmuesfmkbm,123456abc,kbqmmuesfmkbm@sohu.com,2
44377327,123456abc,44377327@qq.com,2
51383515,123456abc,51383515@qq.com,2
13764047,123456abc,13764047@qq.com,2
71557653,123456abc,71557653@qq.com,2
35667180,123456abc,35667180@qq.com,2
51184602,123456abc,51184602@qq.com,2
27521563,123456abc,27521563@qq.com,2
85057687,123456abc,85057687@qq.com,2
40568378,123456abc,40568378@qq.com,2
46128520,123456abc,46128520@qq.com,2
13201316,123456abc,13201316@qq.com,2
83721227,123456abc,83721227@qq.com,2
22441228,123456abc,22441228@qq.com,2
06643333,123456abc,06643333@qq.com,2
33133887,123456abc,33133887@qq.com,2
61234581,123456abc,61234581@qq.com,2
70675354,123456abc,70675354@qq.com,2
18328427,123456abc,18328427@qq.com,2
74105568,123456abc,74105568@qq.com,2
13152772,123456abc,13152772@qq.com,2
26318220,123456abc,26318220@qq.com,2
65245681,123456abc,65245681@qq.com,2
83484742,123456abc,83484742@qq.com,2
26612812,123456abc,26612812@qq.com,2
10821075,123456abc,10821075@qq.com,2
11283234,123456abc,11283234@qq.com,2
48673773,123456abc,48673773@qq.com,2
74751113,123456abc,74751113@qq.com,2
63383218,123456abc,63383218@qq.com,2
00076068,123456abc,00076068@qq.com,2
45057818,123456abc,45057818@qq.com,2
06420067,123456abc,06420067@qq.com,2
nujkclpwrvusta,123456abc,nujkclpwrvusta@163.com,2
mlqj,123456abc,mlqj@126.com,2
hqeofcu,123456abc,hqeofcu@sina.com,2
lsmldsuh,123456abc,lsmldsuh@hotmail.com,2
rggsvicnn,123456abc,rggsvicnn@sohu.com,2
pmwh,123456abc,pmwh@21cn.com,2
01221330,123456abc,01221330@qq.com,2
16257517,123456abc,16257517@qq.com,2
67041447,123456abc,67041447@qq.com,2
24767880,123456abc,24767880@qq.com,2
21756460,123456abc,21756460@qq.com,2
28405404,123456abc,28405404@qq.com,2
evvlv,123456abc,evvlv@sina.com,2
uqegwaf,123456abc,uqegwaf@hotmail.com,2
val,123456abc,val@sohu.com,2
eeoasma,123456abc,eeoasma@21cn.com,2
45518164,123456abc,45518164@qq.com,2
54854522,123456abc,54854522@qq.com,2
71234123,123456abc,71234123@qq.com,2
48678023,123456abc,48678023@qq.com,2
tdchsfeamjgdrnw,123456abc,tdchsfeamjgdrnw@sina.com,2
17734404,123456abc,17734404@qq.com,2
77237147,123456abc,77237147@qq.com,2
01063258,123456abc,01063258@qq.com,2
qmdlbh,123456abc,qmdlbh@126.com,2
fdvukteplvg,123456abc,fdvukteplvg@sohu.com,2
47038563,123456abc,47038563@qq.com,2
82727268,123456abc,82727268@qq.com,2
30711656,123456abc,30711656@qq.com,2
51338741,123456abc,51338741@qq.com,2
37661401,123456abc,37661401@qq.com,2
47412841,123456abc,47412841@qq.com,2
26372016,123456abc,26372016@qq.com,2
22672230,123456abc,22672230@qq.com,2
65805868,123456abc,65805868@qq.com,2
05622336,123456abc,05622336@qq.com,2
51114572,123456abc,51114572@qq.com,2
50486181,123456abc,50486181@qq.com,2
43358452,123456abc,43358452@qq.com,2
04763847,123456abc,04763847@qq.com,2
70200151,123456abc,70200151@qq.com,2
66354618,123456abc,66354618@qq.com,2
54788671,123456abc,54788671@qq.com,2
47187176,123456abc,47187176@qq.com,2
45168702,123456abc,45168702@qq.com,2
72820073,123456abc,72820073@qq.com,2
27070470,123456abc,27070470@qq.com,2
11410525,123456abc,11410525@qq.com,2
76075407,123456abc,76075407@qq.com,2
pkfdvpaim,123456abc,pkfdvpaim@163.com,2
okjgnvv,123456abc,okjgnvv@126.com,2
dtw,123456abc,dtw@sina.com,2
35067504,123456abc,35067504@qq.com,2
07581868,123456abc,07581868@qq.com,2
75844745,123456abc,75844745@qq.com,2
13644100,123456abc,13644100@qq.com,2
74771565,123456abc,74771565@qq.com,2
28658834,123456abc,28658834@qq.com,2
03483758,123456abc,03483758@qq.com,2
44706177,123456abc,44706177@qq.com,2
30380342,123456abc,30380342@qq.com,2
hbcwhkvbwgk,123456abc,hbcwhkvbwgk@sohu.com,2
rmcqtqjgpg,123456abc,rmcqtqjgpg@21cn.com,2
famddksanaepqd,123456abc,famddksanaepqd@msn.com,2
hrneftmnuimh,123456abc,hrneftmnuimh@hotmail.com,2
73141752,123456abc,73141752@qq.com,2
